Stat,Rank,Value,Team,Year
Red Zone Defense,T-97,0.875,Virginia Tech Hokies,2016
Net Punting,37,38.70,Virginia Tech Hokies,2016
Punt Returns,63,8.59,Virginia Tech Hokies,2016
Kickoff Returns,42,22.26,Virginia Tech Hokies,2016
First Downs Offense,64,262,Virginia Tech Hokies,2016
First Downs Defense,31,238,Virginia Tech Hokies,2016
Fewest Penalties Per Game,109,7.38,Virginia Tech Hokies,2016
Fewest Penalty Yards Per Game,98,62.77,Virginia Tech Hokies,2016
Time of Possession,33,31:26,Virginia Tech Hokies,2016
Total Offense,113,333.4,Wake Forest Demon Deacons,2016
Rushing Offense,122,105.2,Wake Forest Demon Deacons,2016
Passing Offense,60,228.3,Wake Forest Demon Deacons,2016
Team Passing Efficiency,105,113.42,Wake Forest Demon Deacons,2016
Scoring Offense,119,17.4,Wake Forest Demon Deacons,2016
Total Defense,38,363.8,Wake Forest Demon Deacons,2016
Rushing Defense,52,161.3,Wake Forest Demon Deacons,2016
Passing Yards Allowed,32,202.5,Wake Forest Demon Deacons,2016
Team Passing Efficiency Defense,94,138.89,Wake Forest Demon Deacons,2016
Scoring Defense,43,24.6,Wake Forest Demon Deacons,2016
Turnover Margin,T-120,-1.08,Wake Forest Demon Deacons,2016
3rd Down Conversion Pct,105,0.351,Wake Forest Demon Deacons,2016
4th Down Conversion Pct,101,0.412,Wake Forest Demon Deacons,2016
3rd Down Conversion Pct Defense,36,0.354,Wake Forest Demon Deacons,2016
4th Down Conversion Pct Defense,T-36,0.444,Wake Forest Demon Deacons,2016
Red Zone Offense,101,0.781,Wake Forest Demon Deacons,2016
Red Zone Defense,31,0.788,Wake Forest Demon Deacons,2016
Net Punting,8,41.25,Wake Forest Demon Deacons,2016
Punt Returns,114,3.75,Wake Forest Demon Deacons,2016
Kickoff Returns,115,18.21,Wake Forest Demon Deacons,2016
First Downs Offense,102,227,Wake Forest Demon Deacons,2016
First Downs Defense,10,217,Wake Forest Demon Deacons,2016
Fewest Penalties Per Game,23,5.08,Wake Forest Demon Deacons,2016
Fewest Penalty Yards Per Game,35,46.42,Wake Forest Demon Deacons,2016
Time of Possession,40,31:08,Wake Forest Demon Deacons,2016
Total Offense,61,403.1,Washington  Huskies,2016
Rushing Offense,76,163.8,Washington  Huskies,2016
Passing Offense,50,239.2,Washington  Huskies,2016
Team Passing Efficiency,46,136.45,Washington  Huskies,2016
Scoring Offense,55,30.6,Washington  Huskies,2016
Total Defense,31,351.8,Washington  Huskies,2016
Rushing Defense,19,125.3,Washington  Huskies,2016
Passing Yards Allowed,68,226.5,Washington  Huskies,2016
Team Passing Efficiency Defense,30,115.91,Washington  Huskies,2016
Scoring Defense,13,18.8,Washington  Huskies,2016
Turnover Margin,34,0.38,Washington  Huskies,2016
3rd Down Conversion Pct,82,0.379,Washington  Huskies,2016
4th Down Conversion Pct,98,0.421,Washington  Huskies,2016
3rd Down Conversion Pct Defense,50,0.368,Washington  Huskies,2016
4th Down Conversion Pct Defense,T-74,0.522,Washington  Huskies,2016
Red Zone Offense,77,0.830,Washington  Huskies,2016
Red Zone Defense,T-38,0.795,Washington  Huskies,2016
Net Punting,62,37.37,Washington  Huskies,2016
Punt Returns,T-6,16.00,Washington  Huskies,2016
Kickoff Returns,87,20.23,Washington  Huskies,2016
First Downs Offense,65,261,Washington  Huskies,2016
First Downs Defense,45,248,Washington  Huskies,2016
Fewest Penalties Per Game,T-38,5.46,Washington  Huskies,2016
Fewest Penalty Yards Per Game,47,50.08,Washington  Huskies,2016
Time of Possession,63,29:59,Washington  Huskies,2016
Total Offense,25,469.6,Washington St. Cougars,2016
Rushing Offense,127,80.1,Washington St. Cougars,2016
Passing Offense,1,389.5,Washington St. Cougars,2016
Team Passing Efficiency,38,140.42,Washington St. Cougars,2016
Scoring Offense,49,31.5,Washington St. Cougars,2016
Total Defense,84,416.2,Washington St. Cougars,2016
Rushing Defense,92,192.5,Washington St. Cougars,2016
Passing Yards Allowed,64,223.8,Washington St. Cougars,2016
Team Passing Efficiency Defense,59,124.30,Washington St. Cougars,2016
Scoring Defense,74,27.7,Washington St. Cougars,2016
Turnover Margin,75,-0.08,Washington St. Cougars,2016
3rd Down Conversion Pct,60,0.405,Washington St. Cougars,2016
4th Down Conversion Pct,14,0.667,Washington St. Cougars,2016
3rd Down Conversion Pct Defense,106,0.445,Washington St. Cougars,2016
4th Down Conversion Pct Defense,24,0.407,Washington St. Cougars,2016
Red Zone Offense,T-2,0.945,Washington St. Cougars,2016
Red Zone Defense,49,0.815,Washington St. Cougars,2016
Net Punting,123,32.90,Washington St. Cougars,2016
Punt Returns,76,7.41,Washington St. Cougars,2016
Kickoff Returns,80,20.55,Washington St. Cougars,2016
First Downs Offense,17,331,Washington St. Cougars,2016
First Downs Defense,89,276,Washington St. Cougars,2016
Fewest Penalties Per Game,35,5.38,Washington St. Cougars,2016
Fewest Penalty Yards Per Game,8,38.31,Washington St. Cougars,2016
Time of Possession,57,30:13,Washington St. Cougars,2016
Total Offense,23,479.7,West Virginia  Mountaineers,2016
Rushing Offense,16,228.2,West Virginia  Mountaineers,2016
Passing Offense,42,251.5,West Virginia  Mountaineers,2016
Team Passing Efficiency,59,131.09,West Virginia  Mountaineers,2016
Scoring Offense,T-35,34.0,West Virginia  Mountaineers,2016
Total Defense,61,396.5,West Virginia  Mountaineers,2016
Rushing Defense,51,158.7,West Virginia  Mountaineers,2016
Passing Yards Allowed,82,237.8,West Virginia  Mountaineers,2016
Team Passing Efficiency Defense,32,117.19,West Virginia  Mountaineers,2016
Scoring Defense,44,24.6,West Virginia  Mountaineers,2016
Turnover Margin,T-15,0.69,West Virginia  Mountaineers,2016
3rd Down Conversion Pct,68,0.391,West Virginia  Mountaineers,2016
4th Down Conversion Pct,79,0.474,West Virginia  Mountaineers,2016
3rd Down Conversion Pct Defense,13,0.317,West Virginia  Mountaineers,2016
4th Down Conversion Pct Defense,T-28,0.429,West Virginia  Mountaineers,2016
Red Zone Offense,78,0.828,West Virginia  Mountaineers,2016
Red Zone Defense,102,0.884,West Virginia  Mountaineers,2016
Net Punting,22,39.75,West Virginia  Mountaineers,2016
Punt Returns,101,5.54,West Virginia  Mountaineers,2016
Kickoff Returns,11,25.63,West Virginia  Mountaineers,2016
First Downs Offense,19,325,West Virginia  Mountaineers,2016
First Downs Defense,61,257,West Virginia  Mountaineers,2016
Fewest Penalties Per Game,T-86,6.69,West Virginia  Mountaineers,2016
Fewest Penalty Yards Per Game,116,70.00,West Virginia  Mountaineers,2016
Time of Possession,75,29:22,West Virginia  Mountaineers,2016
Total Offense,9,526.4,Western Ky. Hilltoppers,2016
Rushing Offense,89,154.1,Western Ky. Hilltoppers,2016
Passing Offense,4,372.2,Western Ky. Hilltoppers,2016
Team Passing Efficiency,1,177.39,Western Ky. Hilltoppers,2016
Scoring Offense,3,44.3,Western Ky. Hilltoppers,2016
Total Defense,72,405.2,Western Ky. Hilltoppers,2016
Rushing Defense,59,165.6,Western Ky. Hilltoppers,2016
Passing Yards Allowed,85,239.6,Western Ky. Hilltoppers,2016
Team Passing Efficiency Defense,64,125.89,Western Ky. Hilltoppers,2016
Scoring Defense,53,25.9,Western Ky. Hilltoppers,2016
Turnover Margin,T-4,1.00,Western Ky. Hilltoppers,2016
3rd Down Conversion Pct,11,0.478,Western Ky. Hilltoppers,2016
4th Down Conversion Pct,T-42,0.571,Western Ky. Hilltoppers,2016
3rd Down Conversion Pct Defense,33,0.352,Western Ky. Hilltoppers,2016
4th Down Conversion Pct Defense,111,0.611,Western Ky. Hilltoppers,2016
Red Zone Offense,33,0.877,Western Ky. Hilltoppers,2016
Red Zone Defense,24,0.776,Western Ky. Hilltoppers,2016
Net Punting,65,37.27,Western Ky. Hilltoppers,2016
Punt Returns,72,7.56,Western Ky. Hilltoppers,2016
Kickoff Returns,65,21.10,Western Ky. Hilltoppers,2016
First Downs Offense,8,349,Western Ky. Hilltoppers,2016
First Downs Defense,104,289,Western Ky. Hilltoppers,2016
Fewest Penalties Per Game,59,5.93,Western Ky. Hilltoppers,2016
Fewest Penalty Yards Per Game,82,57.86,Western Ky. Hilltoppers,2016
Time of Possession,59,30:11,Western Ky. Hilltoppers,2016
Total Offense,79,378.6,Wisconsin Badgers,2016
Rushing Offense,94,150.3,Wisconsin Badgers,2016
Passing Offense,59,228.3,Wisconsin Badgers,2016
Team Passing Efficiency,80,124.47,Wisconsin Badgers,2016
Scoring Offense,81,26.8,Wisconsin Badgers,2016
Total Defense,2,268.5,Wisconsin Badgers,2016
Rushing Defense,4,95.4,Wisconsin Badgers,2016
Passing Yards Allowed,7,173.2,Wisconsin Badgers,2016
Team Passing Efficiency Defense,2,96.76,Wisconsin Badgers,2016
Scoring Defense,1,13.7,Wisconsin Badgers,2016
Turnover Margin,48,0.23,Wisconsin Badgers,2016
3rd Down Conversion Pct,57,0.408,Wisconsin Badgers,2016
4th Down Conversion Pct,7,0.750,Wisconsin Badgers,2016
3rd Down Conversion Pct Defense,11,0.312,Wisconsin Badgers,2016
4th Down Conversion Pct Defense,6,0.300,Wisconsin Badgers,2016
Red Zone Offense,53,0.852,Wisconsin Badgers,2016
Red Zone Defense,19,0.760,Wisconsin Badgers,2016
Net Punting,107,35.48,Wisconsin Badgers,2016
Punt Returns,79,7.28,Wisconsin Badgers,2016
Kickoff Returns,93,19.82,Wisconsin Badgers,2016
First Downs Offense,T-51,276,Wisconsin Badgers,2016
First Downs Defense,2,183,Wisconsin Badgers,2016
Fewest Penalties Per Game,T-53,5.77,Wisconsin Badgers,2016
Fewest Penalty Yards Per Game,55,53.00,Wisconsin Badgers,2016
Time of Possession,5,33:51,Wisconsin Badgers,2016
Total Offense,17,490.8,Western Mich. Broncos,2016
Rushing Offense,29,204.6,Western Mich. Broncos,2016
Passing Offense,26,286.2,Western Mich. Broncos,2016
Team Passing Efficiency,6,164.97,Western Mich. Broncos,2016
Scoring Offense,26,36.0,Western Mich. Broncos,2016
Total Defense,82,413.7,Western Mich. Broncos,2016
Rushing Defense,76,181.1,Western Mich. Broncos,2016
Passing Yards Allowed,72,232.6,Western Mich. Broncos,2016
Team Passing Efficiency Defense,79,133.47,Western Mich. Broncos,2016
Scoring Defense,T-79,28.3,Western Mich. Broncos,2016
Turnover Margin,T-61,0.08,Western Mich. Broncos,2016
3rd Down Conversion Pct,22,0.459,Western Mich. Broncos,2016
4th Down Conversion Pct,28,0.619,Western Mich. Broncos,2016
3rd Down Conversion Pct Defense,84,0.410,Western Mich. Broncos,2016
4th Down Conversion Pct Defense,10,0.318,Western Mich. Broncos,2016
Red Zone Offense,97,0.793,Western Mich. Broncos,2016
Red Zone Defense,48,0.814,Western Mich. Broncos,2016
Net Punting,32,38.93,Western Mich. Broncos,2016
Punt Returns,59,8.80,Western Mich. Broncos,2016
Kickoff Returns,53,21.61,Western Mich. Broncos,2016
First Downs Offense,T-26,308,Western Mich. Broncos,2016
First Downs Defense,63,258,Western Mich. Broncos,2016
Fewest Penalties Per Game,69,6.23,Western Mich. Broncos,2016
Fewest Penalty Yards Per Game,66,55.54,Western Mich. Broncos,2016
Time of Possession,2,34:33,Western Mich. Broncos,2016
Total Offense,100,360.7,Wyoming  Cowboys,2016
Rushing Offense,62,173.4,Wyoming  Cowboys,2016
Passing Offense,101,187.3,Wyoming  Cowboys,2016
Team Passing Efficiency,51,134.98,Wyoming  Cowboys,2016
Scoring Offense,T-115,19.0,Wyoming  Cowboys,2016
Total Defense,91,422.1,Wyoming  Cowboys,2016
Rushing Defense,113,225.2,Wyoming  Cowboys,2016
Passing Yards Allowed,26,196.9,Wyoming  Cowboys,2016
Team Passing Efficiency Defense,123,161.43,Wyoming  Cowboys,2016
Scoring Defense,102,34.0,Wyoming  Cowboys,2016
Turnover Margin,T-113,-0.92,Wyoming  Cowboys,2016
3rd Down Conversion Pct,113,0.333,Wyoming  Cowboys,2016
4th Down Conversion Pct,T-33,0.609,Wyoming  Cowboys,2016
3rd Down Conversion Pct Defense,112,0.456,Wyoming  Cowboys,2016
4th Down Conversion Pct Defense,T-85,0.538,Wyoming  Cowboys,2016
Red Zone Offense,127,0.615,Wyoming  Cowboys,2016
Red Zone Defense,107,0.894,Wyoming  Cowboys,2016
Net Punting,40,38.57,Wyoming  Cowboys,2016
Punt Returns,74,7.50,Wyoming  Cowboys,2016
Kickoff Returns,29,23.52,Wyoming  Cowboys,2016
First Downs Offense,93,237,Wyoming  Cowboys,2016
First Downs Defense,68,261,Wyoming  Cowboys,2016
Fewest Penalties Per Game,71,6.25,Wyoming  Cowboys,2016
Fewest Penalty Yards Per Game,74,56.75,Wyoming  Cowboys,2016
Time of Possession,56,30:13,Wyoming  Cowboys,2016
Total Offense,36,452.2,Air Force Falcons,2017
Rushing Offense,3,317.4,Air Force Falcons,2017
Passing Offense,123,134.8,Air Force Falcons,2017
Team Passing Efficiency,8,163.58,Air Force Falcons,2017
Scoring Offense,30,35.2,Air Force Falcons,2017
Total Defense,33,364.8,Air Force Falcons,2017
Rushing Defense,10,114.2,Air Force Falcons,2017
Passing Yards Allowed,94,250.7,Air Force Falcons,2017
Team Passing Efficiency Defense,83,135.94,Air Force Falcons,2017
Scoring Defense,49,26.2,Air Force Falcons,2017
Turnover Margin,T-28,0.46,Air Force Falcons,2017
3rd Down Conversion Pct,6,0.505,Air Force Falcons,2017
4th Down Conversion Pct,56,0.533,Air Force Falcons,2017
3rd Down Conversion Pct Defense,102,0.435,Air Force Falcons,2017
4th Down Conversion Pct Defense,T-36,0.421,Air Force Falcons,2017
Red Zone Offense,27,0.883,Air Force Falcons,2017
Red Zone Defense,48,0.814,Air Force Falcons,2017
Net Punting,34,38.90,Air Force Falcons,2017
Punt Returns,19,11.00,Air Force Falcons,2017
Kickoff Returns,9,25.40,Air Force Falcons,2017
First Downs Offense,28,302,Air Force Falcons,2017
First Downs Defense,16,229,Air Force Falcons,2017
Fewest Penalties Per Game,32,5.15,Air Force Falcons,2017
Fewest Penalty Yards Per Game,56,52.38,Air Force Falcons,2017
Time of Possession,4,34:03,Air Force Falcons,2017
Total Offense,84,387.4,Akron  Zips,2017
Rushing Offense,111,132.2,Akron  Zips,2017
Passing Offense,45,255.3,Akron  Zips,2017
Team Passing Efficiency,58,133.53,Akron  Zips,2017
Scoring Offense,73,27.4,Akron  Zips,2017
Total Defense,114,466.0,Akron  Zips,2017
Rushing Defense,107,224.7,Akron  Zips,2017
Passing Yards Allowed,79,241.3,Akron  Zips,2017
Team Passing Efficiency Defense,91,138.17,Akron  Zips,2017
Scoring Defense,98,33.6,Akron  Zips,2017
Turnover Margin,T-114,-0.67,Akron  Zips,2017
3rd Down Conversion Pct,92,0.373,Akron  Zips,2017
4th Down Conversion Pct,T-80,0.476,Akron  Zips,2017
3rd Down Conversion Pct Defense,105,0.444,Akron  Zips,2017
4th Down Conversion Pct Defense,T-93,0.591,Akron  Zips,2017
Red Zone Offense,59,0.848,Akron  Zips,2017
Red Zone Defense,76,0.855,Akron  Zips,2017
Net Punting,117,34.39,Akron  Zips,2017
Punt Returns,3,17.53,Akron  Zips,2017
Kickoff Returns,117,18.09,Akron  Zips,2017
First Downs Offense,109,234,Akron  Zips,2017
First Downs Defense,109,294,Akron  Zips,2017
Fewest Penalties Per Game,113,7.58,Akron  Zips,2017
Fewest Penalty Yards Per Game,115,67.25,Akron  Zips,2017
Time of Possession,122,25:58,Akron  Zips,2017
Total Offense,34,455.3,Alabama  Crimson Tide,2017
Rushing Offense,12,245.0,Alabama  Crimson Tide,2017
Passing Offense,87,210.3,Alabama  Crimson Tide,2017
Team Passing Efficiency,34,143.34,Alabama  Crimson Tide,2017
Scoring Offense,16,38.8,Alabama  Crimson Tide,2017
Total Defense,2,261.8,Alabama  Crimson Tide,2017
Rushing Defense,1,63.9,Alabama  Crimson Tide,2017
Passing Yards Allowed,24,197.9,Alabama  Crimson Tide,2017
Team Passing Efficiency Defense,9,106.47,Alabama  Crimson Tide,2017
Scoring Defense,1,13.0,Alabama  Crimson Tide,2017
Turnover Margin,17,0.67,Alabama  Crimson Tide,2017
3rd Down Conversion Pct,T-35,0.438,Alabama  Crimson Tide,2017
4th Down Conversion Pct,33,0.588,Alabama  Crimson Tide,2017
3rd Down Conversion Pct Defense,8,0.307,Alabama  Crimson Tide,2017
4th Down Conversion Pct Defense,1,0.174,Alabama  Crimson Tide,2017
Red Zone Offense,24,0.892,Alabama  Crimson Tide,2017
Red Zone Defense,59,0.840,Alabama  Crimson Tide,2017
Net Punting,22,39.88,Alabama  Crimson Tide,2017
Punt Returns,5,15.53,Alabama  Crimson Tide,2017
Kickoff Returns,90,19.54,Alabama  Crimson Tide,2017
First Downs Offense,18,315,Alabama  Crimson Tide,2017
First Downs Defense,13,217,Alabama  Crimson Tide,2017
Fewest Penalties Per Game,52,5.73,Alabama  Crimson Tide,2017
Fewest Penalty Yards Per Game,T-25,44.00,Alabama  Crimson Tide,2017
Time of Possession,46,30:55,Alabama  Crimson Tide,2017
Total Offense,52,429.9,Appalachian St. Mountaineers,2017
Rushing Offense,10,250.9,Appalachian St. Mountaineers,2017
Passing Offense,105,179.0,Appalachian St. Mountaineers,2017
Team Passing Efficiency,69,130.32,Appalachian St. Mountaineers,2017
Scoring Offense,64,29.2,Appalachian St. Mountaineers,2017
Total Defense,17,329.7,Appalachian St. Mountaineers,2017
Rushing Defense,20,125.9,Appalachian St. Mountaineers,2017
Passing Yards Allowed,31,203.8,Appalachian St. Mountaineers,2017
Team Passing Efficiency Defense,11,107.46,Appalachian St. Mountaineers,2017
Scoring Defense,9,17.8,Appalachian St. Mountaineers,2017
Turnover Margin,18,0.62,Appalachian St. Mountaineers,2017
3rd Down Conversion Pct,113,0.337,Appalachian St. Mountaineers,2017
4th Down Conversion Pct,46,0.552,Appalachian St. Mountaineers,2017
3rd Down Conversion Pct Defense,16,0.333,Appalachian St. Mountaineers,2017
4th Down Conversion Pct Defense,2,0.217,Appalachian St. Mountaineers,2017
Red Zone Offense,38,0.872,Appalachian St. Mountaineers,2017
Red Zone Defense,8,0.730,Appalachian St. Mountaineers,2017
Net Punting,99,35.78,Appalachian St. Mountaineers,2017
Punt Returns,21,10.88,Appalachian St. Mountaineers,2017
Kickoff Returns,69,20.65,Appalachian St. Mountaineers,2017
First Downs Offense,42,291,Appalachian St. Mountaineers,2017
First Downs Defense,19,232,Appalachian St. Mountaineers,2017
Fewest Penalties Per Game,T-62,6.08,Appalachian St. Mountaineers,2017
Fewest Penalty Yards Per Game,83,57.69,Appalachian St. Mountaineers,2017
Time of Possession,9,33:35,Appalachian St. Mountaineers,2017
Total Offense,67,413.1,Arizona  Wildcats,2017
Rushing Offense,19,235.0,Arizona  Wildcats,2017
Passing Offense,108,178.1,Arizona  Wildcats,2017
Team Passing Efficiency,105,116.15,Arizona  Wildcats,2017
Scoring Offense,100,24.8,Arizona  Wildcats,2017
Total Defense,115,469.3,Arizona  Wildcats,2017
Rushing Defense,83,194.2,Arizona  Wildcats,2017
Passing Yards Allowed,117,275.2,Arizona  Wildcats,2017
Team Passing Efficiency Defense,122,153.29,Arizona  Wildcats,2017
Scoring Defense,118,38.3,Arizona  Wildcats,2017
Turnover Margin,T-112,-0.58,Arizona  Wildcats,2017
3rd Down Conversion Pct,98,0.363,Arizona  Wildcats,2017
4th Down Conversion Pct,123,0.278,Arizona  Wildcats,2017
3rd Down Conversion Pct Defense,127,0.526,Arizona  Wildcats,2017
4th Down Conversion Pct Defense,T-10,0.313,Arizona  Wildcats,2017
Red Zone Offense,T-107,0.775,Arizona  Wildcats,2017
Red Zone Defense,88,0.875,Arizona  Wildcats,2017
Net Punting,76,37.00,Arizona  Wildcats,2017
Punt Returns,108,4.67,Arizona  Wildcats,2017
Kickoff Returns,124,17.03,Arizona  Wildcats,2017
First Downs Offense,T-93,246,Arizona  Wildcats,2017
First Downs Defense,116,302,Arizona  Wildcats,2017
Fewest Penalties Per Game,73,6.33,Arizona  Wildcats,2017
Fewest Penalty Yards Per Game,106,64.00,Arizona  Wildcats,2017
Time of Possession,124,25:50,Arizona  Wildcats,2017
Total Offense,81,390.8,Arizona St. Sun Devils,2017
Rushing Offense,112,131.5,Arizona St. Sun Devils,2017
Passing Offense,39,259.3,Arizona St. Sun Devils,2017
Team Passing Efficiency,73,127.79,Arizona St. Sun Devils,2017
Scoring Offense,40,33.3,Arizona St. Sun Devils,2017
Total Defense,127,520.5,Arizona St. Sun Devils,2017
Rushing Defense,56,163.1,Arizona St. Sun Devils,2017
Passing Yards Allowed,128,357.4,Arizona St. Sun Devils,2017
Team Passing Efficiency Defense,124,156.94,Arizona St. Sun Devils,2017
Scoring Defense,124,39.8,Arizona St. Sun Devils,2017
Turnover Margin,T-93,-0.33,Arizona St. Sun Devils,2017
3rd Down Conversion Pct,85,0.381,Arizona St. Sun Devils,2017
4th Down Conversion Pct,85,0.471,Arizona St. Sun Devils,2017
3rd Down Conversion Pct Defense,32,0.358,Arizona St. Sun Devils,2017
4th Down Conversion Pct Defense,T-85,0.563,Arizona St. Sun Devils,2017
Red Zone Offense,11,0.915,Arizona St. Sun Devils,2017
Red Zone Defense,120,0.917,Arizona St. Sun Devils,2017
Net Punting,5,42.04,Arizona St. Sun Devils,2017
Punt Returns,28,10.26,Arizona St. Sun Devils,2017
Kickoff Returns,46,21.66,Arizona St. Sun Devils,2017
